run_id,pass_name,chunk_index,candidate_key,used,used_field_level,used_source,join_source,self_ref,page_number,token_count,final_score,cosine,rerank_norm,field_label_norm,pass_keyword_norm,anchor_text_norm,anchor_section_norm,section_norm,is_table,pattern_norm,negative_norm
e864ba84-6b3c-41d8-8da3-688cb3034524,missile_airframe,1,e864ba84-6b3c-41d8-8da3-688cb3034524:chunk_1,False,False,direct,vertex_id,chunk_1,1,368,0.08219331184261457,0.4758019745349884,0.06597709562639835,0.0,0.7142857142857143,0.08333333333333333,0.0,0.0,0.0,0.0,0.0
e864ba84-6b3c-41d8-8da3-688cb3034524,missile_airframe,31,e864ba84-6b3c-41d8-8da3-688cb3034524:chunk_31,False,False,direct,vertex_id,chunk_31,11,443,0.08045807493408189,0.527363121509552,0.048025642501649445,0.0,0.5714285714285714,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
e864ba84-6b3c-41d8-8da3-688cb3034524,missile_airframe,22,e864ba84-6b3c-41d8-8da3-688cb3034524:chunk_22,False,False,direct,vertex_id,chunk_22,7,520,0.07889448846860866,0.40894466638565063,0.003218812792932981,0.0,0.42857142857142855,0.3888888888888889,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0
e864ba84-6b3c-41d8-8da3-688cb3034524,missile_airframe,47,e864ba84-6b3c-41d8-8da3-688cb3034524:chunk_47,False,False,direct,vertex_id,chunk_47,21,419,0.076042651430711,0.4658994674682617,0.04361021899827856,0.0,0.8571428571428571,0.16666666666666666,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0
e864ba84-6b3c-41d8-8da3-688cb3034524,missile_airframe,38,e864ba84-6b3c-41d8-8da3-688cb3034524:chunk_38,False,False,direct,vertex_id,chunk_38,14,481,0.06833180350846017,0.47535574436187744,0.04671018188683855,0.0,0.7142857142857143,0.1111111111111111,0.0,0.0,0.0,0.0,0.0
e864ba84-6b3c-41d8-8da3-688cb3034524,missile_airframe,37,e864ba84-6b3c-41d8-8da3-688cb3034524:chunk_37,False,False,direct,vertex_id,chunk_37,14,463,0.06682920800087998,0.4413590431213379,0.05061299178466376,0.0,0.7142857142857143,0.08333333333333333,0.0,0.0,0.0,0.0,0.0
e864ba84-6b3c-41d8-8da3-688cb3034524,missile_airframe,46,e864ba84-6b3c-41d8-8da3-688cb3034524:chunk_46,False,False,direct,vertex_id,chunk_46,20,487,0.06129031502652472,0.4691562056541443,0.039668693404903095,0.0,1.0,0.1111111111111111,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0
e864ba84-6b3c-41d8-8da3-688cb3034524,missile_airframe,23,e864ba84-6b3c-41d8-8da3-688cb3034524:chunk_23,False,False,direct,vertex_id,chunk_23,7,308,0.05969441650348914,0.4211820960044861,0.016451173260245894,0.0,0.42857142857142855,0.2222222222222222,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0
e864ba84-6b3c-41d8-8da3-688cb3034524,missile_airframe,33,e864ba84-6b3c-41d8-8da3-688cb3034524:chunk_33,False,False,direct,vertex_id,chunk_33,12,486,0.05626241818013537,0.46274125576019287,0.018424580342297537,0.5,0.5714285714285714,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
e864ba84-6b3c-41d8-8da3-688cb3034524,missile_airframe,45,e864ba84-6b3c-41d8-8da3-688cb3034524:chunk_45,False,False,direct,vertex_id,chunk_45,19,110,0.05405405405405406,0.4035481810569763,0.0,0.0,0.7142857142857143,0.2777777777777778,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0
e864ba84-6b3c-41d8-8da3-688cb3034524,missile_airframe,29,e864ba84-6b3c-41d8-8da3-688cb3034524:chunk_29,False,False,direct,vertex_id,chunk_29,9,491,0.053362353821210344,0.43854159116744995,0.015524515983372504,0.5,0.5714285714285714,0.16666666666666666,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0
e864ba84-6b3c-41d8-8da3-688cb3034524,missile_airframe,24,e864ba84-6b3c-41d8-8da3-688cb3034524:chunk_24,False,False,direct,vertex_id,chunk_24,7,298,0.051906301743833066,0.45981037616729736,0.003257653095184417,0.5,0.5714285714285714,0.2222222222222222,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0
e864ba84-6b3c-41d8-8da3-688cb3034524,missile_airframe,57,e864ba84-6b3c-41d8-8da3-688cb3034524:chunk_57,False,False,direct,vertex_id,chunk_57,27,472,0.051859011674176204,0.462477445602417,0.03023739005255458,0.0,0.8571428571428571,0.1111111111111111,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0
e864ba84-6b3c-41d8-8da3-688cb3034524,missile_airframe,48,e864ba84-6b3c-41d8-8da3-688cb3034524:chunk_48,False,False,direct,vertex_id,chunk_48,22,509,0.049631819590936876,0.44294026494026184,0.02260479256390985,0.0,1.0,0.1388888888888889,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0
e864ba84-6b3c-41d8-8da3-688cb3034524,missile_airframe,39,e864ba84-6b3c-41d8-8da3-688cb3034524:chunk_39,False,False,direct,vertex_id,chunk_39,15,510,0.0456051265706418,0.39479565620422363,0.002361883327398556,0.0,0.8571428571428571,0.2222222222222222,0.45454545454545453,0.45454545454545453,0.0,0.0,0.0
